Price,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume,days_ago,days_ago,days_ago,days_ago,days_ago,days_ago
Ticker,AAPL,AMZN,GOOGL,MSFT,NVDA,TSLA,AAPL,AMZN,GOOGL,MSFT,NVDA,TSLA,AAPL,AMZN,GOOGL,MSFT,NVDA,TSLA,AAPL,AMZN,GOOGL,MSFT,NVDA,TSLA,AAPL,AMZN,GOOGL,MSFT,NVDA,TSLA,AAPL,AMZN,GOOGL,MSFT,NVDA,TSLA
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-26,234.0016632080078,207.86000061035156,168.37745666503906,425.6510925292969,136.88075256347656,338.2300109863281,234.50937670519198,208.0,169.07439539763973,426.69537265560376,139.26007526155422,346.9599914550781,232.27945661483375,201.7899932861328,166.844224875264,416.5610569682543,135.63111085304342,335.6600036621094,232.27945661483375,201.89999389648438,166.89400838356315,417.29700327286355,137.66052777043362,341.0,45986200.0,41673700.0,20486700.0,23458900.0,190287700.0,62295900.0,357,357,357,357,357,357
2024-11-27,233.8722381591797,205.74000549316406,168.48696899414062,420.67840576171875,135.3011932373047,332.8900146484375,234.6288260383393,207.63999938964844,168.73587133599466,424.8952553598379,137.18065910710888,342.54998779296875,232.75728573526553,205.0500030517578,167.28229016697128,419.71370546967114,131.76221489663718,326.5899963378906,233.41431778082386,206.97999572753906,168.25798309333703,422.78681538537654,134.97128602051475,341.79998779296875,33498400.0,28061600.0,19266500.0,18332400.0,226370900.0,57896400.0,356,356,356,356,356,356
2024-11-28,235.06684112548828,206.81500244140625,168.3475799560547,420.91212463378906,136.7557830810547,339.02500915527344,235.68405235928148,207.9199981689453,168.7109752359965,423.72667606214117,138.24536141843944,344.0,232.83692866394972,204.81999969482422,166.85417354674834,417.6152382096926,133.88661073296328,330.6199951171875,233.5835518503633,206.40499877929688,168.009076428708,420.29054015633733,135.85603953807276,338.9399871826172,30989900.0,26477000.0,16761850.0,17302150.0,184117050.0,47532000.0,355,355,355,355,355,355
2024-11-29,236.26144409179688,207.88999938964844,168.20819091796875,421.1458435058594,138.2103729248047,345.1600036621094,236.73927868022366,208.1999969482422,168.68607913599834,422.55809676444443,139.31006372977,345.45001220703125,232.91657159263394,204.58999633789062,166.4260569265254,415.51677094971404,136.0110065692894,334.6499938964844,233.75278591990275,205.8300018310547,167.76016976407897,417.7942649272981,136.74079305563075,336.0799865722656,28481400.0,24892400.0,14257200.0,16271900.0,141863200.0,37167600.0,354,354,354,354,354,354
2024-11-30,237.01138305664062,208.8300018310547,169.0511474609375,423.63881429036456,138.33700052897134,349.1366678873698,237.7281374673173,209.79666646321616,169.56554157188262,425.2499664664305,139.67661780634836,350.3000081380208,233.97511744970677,206.22999572753906,166.89399893024842,416.6803766061277,136.6008345221707,340.1499938964844,234.56909544826806,207.20667012532553,167.8497804354704,418.2849022054514,137.42392715067453,341.51332600911456,35033300.0,29769333.333333332,17434500.0,17583666.666666668,151803066.66666666,50773900.0,353,353,353,353,353,353
2024-12-01,237.76132202148438,209.77000427246094,169.89410400390625,426.1317850748698,138.46362813313803,353.1133321126302,238.71699625441093,211.3933359781901,170.44500400776693,427.94183616841667,140.04317188292669,355.15000406901044,235.03366330677957,207.8699951171875,167.36194093397143,417.84398226254143,137.19066247505194,345.6499938964844,235.38540497663337,208.58333841959634,167.9393911068618,418.7755394836046,138.10706124571828,346.94666544596356,41585200.0,34646266.666666664,20611800.0,18895433.333333332,161742933.33333334,64380200.0,352,352,352,352,352,352
2024-12-02,238.51126098632812,210.7100067138672,170.737060546875,428.624755859375,138.5902557373047,357.0899963378906,239.70585504150458,212.99000549316406,171.3244664436512,430.63370587040276,140.40972595950504,360.0,236.0922091638524,209.50999450683594,167.82988293769444,419.0075879189551,137.78049042793322,351.1499938964844,236.20171450499868,209.9600067138672,168.02900177825322,419.26617676175783,138.79019534076207,352.3800048828125,48137100.0,39523200.0,23789100.0,20207200.0,171682800.0,77986500.0,351,351,351,351,351,351
2024-12-03,241.5574951171875,213.44000244140625,170.58770751953125,428.8435363769531,140.2198028564453,351.4200134277344,241.66700046466846,214.02000427246094,171.92182044267236,430.10658499561004,140.4997214017946,355.69000244140625,237.82437898500294,209.64999389648438,170.0998686460895,425.4024231657053,137.91046723010535,348.20001220703125,238.73028547870095,210.30999755859375,170.73705804160417,427.4909528928622,138.22037595856943,351.79998779296875,38861000.0,32214800.0,22248700.0,18302000.0,164414000.0,58267200.0,350,350,350,350,350,350
2024-12-04,241.91586303710938,218.16000366210938,173.60440063476562,435.0295715332031,145.09840393066406,357.92999267578125,243.01091645834052,220.0,174.14203820088363,437.2672755840065,145.74821154635353,358.1000061035156,240.16379275322726,215.75,170.3089360574109,430.26573974460115,140.2497877832653,348.6000061035156,241.77649398259703,215.9600067138672,170.39853725449947,430.6635477279166,141.95930442882306,353.0,44383900.0,48745700.0,31615100.0,26009400.0,231224300.0,50810900.0,349,349,349,349,349,349
2024-12-05,241.94573974609375,220.5500030517578,171.8820037841797,440.2011413574219,145.02841186523438,369.489990234375,243.43898620611924,222.14999389648438,175.28698606114204,442.2300015529848,146.50808533514203,375.42999267578125,241.03984843814553,217.3000030517578,171.57336730521956,433.7864078777922,143.91865294893697,359.5,242.8914746561807,218.02999877929688,174.5900625293299,435.5268443828614,145.0784040292141,359.8699951171875,40033900.0,41140200.0,21356200.0,21697800.0,172621200.0,81403600.0,348,348,348,348,348,348
